league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
FRA-Ligue 1,2025-26,Lorient,Tosin Aiyegun,BEN,"FW,MF",27-066,1998,2.5,59,0,3,25,32,12,59,5,2,40.0,2,40.0,35,227,105,4,5,1,0,3,47,14
FRA-Ligue 1,2025-26,Lyon,Abner,BRA,DF,25-096,2000,1.8,94,8,30,44,20,4,94,2,0,0.0,2,100.0,51,184,107,2,1,0,0,2,60,4
FRA-Ligue 1,2025-26,Lyon,Adam Karabec,CZE,FW,22-060,2003,0.2,11,0,1,5,5,2,11,0,0,,0,,9,60,34,2,1,0,1,0,9,2
FRA-Ligue 1,2025-26,Lyon,Afonso Bastardo,POR,FW,20-165,2005,0.1,5,0,0,2,3,0,5,1,0,0.0,1,100.0,5,65,11,0,0,0,0,0,4,0
FRA-Ligue 1,2025-26,Lyon,Ainsley Maitland-Niles,ENG,"DF,FW",28-002,1997,2.0,94,7,32,49,15,2,94,3,2,66.7,1,33.3,61,214,102,0,0,0,1,2,64,4
FRA-Ligue 1,2025-26,Lyon,Clinton Mata,ANG,DF,32-297,1992,1.9,149,30,80,64,5,1,149,0,0,,0,,105,400,195,1,0,0,0,0,105,0
FRA-Ligue 1,2025-26,Lyon,Corentin Tolisso,FRA,MF,31-028,1994,1.8,93,2,18,46,30,5,93,0,0,,0,,68,166,67,0,1,0,3,3,78,12
FRA-Ligue 1,2025-26,Lyon,Georges Mikautadze,GEO,FW,24-304,2000,2.0,50,0,6,22,22,10,50,7,5,71.4,2,28.6,35,265,157,7,0,3,3,3,38,8
FRA-Ligue 1,2025-26,Lyon,Khalis Merah,FRA,"FW,MF",18-188,2007,0.5,30,2,8,14,8,0,30,2,1,50.0,0,0.0,26,123,65,1,2,0,2,1,24,0
FRA-Ligue 1,2025-26,Lyon,Malick Fofana,BEL,FW,20-153,2005,1.9,70,1,11,26,34,12,70,6,3,50.0,1,16.7,55,324,223,11,4,6,2,1,59,21
FRA-Ligue 1,2025-26,Lyon,Moussa Niakhate,SEN,DF,29-176,1996,2.0,155,21,79,76,0,0,155,0,0,,0,,113,552,365,4,0,0,1,0,112,0
FRA-Ligue 1,2025-26,Lyon,Nicolás Tagliafico,ARG,DF,33-000,1992,0.2,14,2,5,6,3,2,14,1,0,0.0,1,100.0,9,31,4,0,1,0,0,0,7,1
FRA-Ligue 1,2025-26,Lyon,Pavel Šulc,CZE,FW,24-245,2000,0.8,21,0,3,9,9,2,21,1,0,0.0,1,100.0,16,67,9,0,2,0,3,1,19,3
FRA-Ligue 1,2025-26,Lyon,Ruben Kluivert,NED,DF,24-102,2001,0.1,11,1,6,5,0,0,11,0,0,,0,,9,42,32,1,0,0,0,0,9,0
FRA-Ligue 1,2025-26,Lyon,Rémy Descamps,FRA,GK,29-067,1996,2.0,76,66,76,0,0,0,76,0,0,,0,,50,230,131,0,0,0,0,0,40,0
FRA-Ligue 1,2025-26,Lyon,Sael Kumbedi,FRA,DF,20-158,2005,0.7,25,1,11,9,5,1,25,1,0,0.0,1,100.0,12,47,23,1,2,0,0,1,13,1
FRA-Ligue 1,2025-26,Lyon,Tanner Tessmann,USA,MF,23-341,2001,2.0,139,15,42,80,19,2,139,2,0,0.0,1,50.0,89,386,186,2,1,0,0,1,94,3
FRA-Ligue 1,2025-26,Lyon,Tyler Morton,ENG,MF,22-304,2002,2.0,140,12,36,73,31,0,140,2,2,100.0,0,0.0,91,464,193,2,2,0,1,1,98,0
FRA-Ligue 1,2025-26,Marseille,Adrien Rabiot,FRA,MF,30-150,1995,1.0,58,1,2,17,39,6,58,1,0,0.0,1,100.0,35,149,32,0,1,1,0,0,49,15
FRA-Ligue 1,2025-26,Marseille,Amine Gouiri,ALG,"FW,MF",25-196,2000,1.9,80,0,3,25,53,6,80,3,0,0.0,3,100.0,43,256,99,4,4,2,2,2,57,9
FRA-Ligue 1,2025-26,Marseille,Angel Gomes,ENG,MF,25-000,2000,1.9,190,2,16,142,33,0,190,1,1,100.0,0,0.0,121,516,238,5,3,0,1,0,168,1
FRA-Ligue 1,2025-26,Marseille,Bilal Nadir,MAR,"MF,FW",21-276,2003,0.3,11,0,0,3,8,2,11,1,1,100.0,0,0.0,7,103,71,2,2,1,0,0,9,2
FRA-Ligue 1,2025-26,Marseille,CJ Egan-Riley,ENG,DF,22-241,2003,2.0,208,15,65,130,13,2,208,3,1,33.3,2,66.7,142,699,409,2,1,0,1,0,160,2
FRA-Ligue 1,2025-26,Marseille,Darryl Bakola,FRA,MF,17-274,2007,0.1,10,0,1,5,5,0,10,0,0,,0,,9,41,30,1,2,0,0,0,9,1
FRA-Ligue 1,2025-26,Marseille,Derek Cornelius,CAN,DF,27-279,1997,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
FRA-Ligue 1,2025-26,Marseille,Geoffrey Kondogbia,CTA,DF,32-197,1993,0.5,45,4,19,25,1,0,45,0,0,,0,,29,136,104,0,0,0,0,0,35,0
FRA-Ligue 1,2025-26,Marseille,Gerónimo Rulli,ARG,GK,33-103,1992,2.0,70,53,69,1,0,0,70,0,0,,0,,39,148,70,0,0,0,0,0,38,0
FRA-Ligue 1,2025-26,Marseille,Jon Rowe,ENG,FW,22-123,2003,0.7,45,0,0,12,33,4,45,2,0,0.0,1,50.0,30,125,62,1,3,0,4,0,35,10
FRA-Ligue 1,2025-26,Marseille,Leonardo Balerdi,ARG,DF,26-217,1999,2.0,209,20,81,119,9,4,209,1,1,100.0,0,0.0,134,605,426,1,0,0,1,0,162,0
FRA-Ligue 1,2025-26,Marseille,Mason Greenwood,ENG,FW,23-334,2001,2.0,143,0,3,50,90,11,141,10,4,40.0,6,60.0,92,625,262,9,5,6,5,1,122,26
FRA-Ligue 1,2025-26,Marseille,Michael Amir Murillo,PAN,"DF,MF",29-201,1996,1.9,116,1,21,61,34,6,116,0,0,,0,,62,243,119,3,4,0,4,1,78,14
FRA-Ligue 1,2025-26,Marseille,Pierre Højbjerg,DEN,MF,30-026,1995,2.0,224,3,28,158,38,7,224,2,1,50.0,1,50.0,132,503,241,4,3,0,1,0,190,2
FRA-Ligue 1,2025-26,Marseille,Pierre-Emerick Aubameyang,GAB,FW,36-074,1989,1.1,25,0,3,10,12,5,25,0,0,,0,,11,59,31,1,0,1,0,1,21,8
FRA-Ligue 1,2025-26,Marseille,Robinio Vaz,FRA,FW,18-195,2007,0.2,9,0,2,3,4,2,9,0,0,,0,,4,48,24,2,0,2,0,0,6,4
FRA-Ligue 1,2025-26,Marseille,Timothy Weah,USA,"FW,DF",25-190,2000,1.2,74,0,5,29,40,0,74,0,0,,0,,41,213,100,1,1,0,2,0,55,15
FRA-Ligue 1,2025-26,Marseille,Ulisses Garcia,SUI,DF,29-232,1996,1.1,63,2,12,33,18,1,63,0,0,,0,,38,177,54,2,1,0,1,0,47,5
FRA-Ligue 1,2025-26,Metz,Alpha Amadou Touré,SEN,"DF,MF",19-218,2006,0.8,53,2,10,29,14,2,53,3,1,33.3,2,66.7,24,121,72,1,1,0,1,0,30,4
FRA-Ligue 1,2025-26,Metz,Benjamin Stambouli,FRA,MF,35-018,1990,2.0,101,3,36,59,6,2,101,3,3,100.0,0,0.0,61,215,121,0,2,0,3,1,78,1
FRA-Ligue 1,2025-26,Metz,Boubacar Traoré,MLI,MF,24-011,2001,1.9,101,6,40,52,10,1,101,3,2,66.7,1,33.3,54,260,84,1,1,0,2,6,73,1
FRA-Ligue 1,2025-26,Metz,Brian Madjo,LUX,FW,16-231,2009,1.5,28,1,4,17,7,5,28,1,0,0.0,1,100.0,17,91,37,2,1,0,5,2,21,1
FRA-Ligue 1,2025-26,Metz,Cheikh Tidiane Sabaly,SEN,FW,26-180,1999,0.8,32,0,5,23,4,1,32,5,0,0.0,5,100.0,19,83,43,1,0,0,2,1,12,1
FRA-Ligue 1,2025-26,Metz,Gauthier Hein,FRA,"MF,FW",29-024,1996,1.0,72,0,6,34,32,6,72,0,0,,0,,38,246,133,5,3,2,3,1,56,3
FRA-Ligue 1,2025-26,Metz,Giorgi Abuashvili,GEO,FW,22-204,2003,0.7,39,1,5,23,11,0,39,6,1,16.7,5,83.3,22,205,148,5,2,1,0,4,29,3
FRA-Ligue 1,2025-26,Metz,Heorhii Tsitaishvili,GEO,"DF,FW",24-286,2000,1.7,68,1,19,20,31,4,68,8,5,62.5,2,25.0,40,298,126,5,2,2,1,1,49,10
FRA-Ligue 1,2025-26,Metz,Ibou Sané,SEN,"FW,MF",20-156,2005,0.5,21,0,5,9,7,0,21,2,1,50.0,1,50.0,15,71,20,0,1,0,3,0,17,3
FRA-Ligue 1,2025-26,Metz,Idrissa Guèye,SEN,FW,18-349,2006,0.5,12,1,2,6,4,2,12,1,0,0.0,1,100.0,4,11,2,0,0,0,2,0,4,1
FRA-Ligue 1,2025-26,Metz,Jean-Philippe Gbamin,CIV,DF,29-340,1995,2.0,136,23,87,48,3,0,136,0,0,,0,,85,371,171,0,1,0,0,1,97,0
FRA-Ligue 1,2025-26,Metz,Jessy Deminguet,FRA,MF,27-236,1998,0.8,30,2,13,13,4,0,30,1,1,100.0,0,0.0,12,99,41,1,1,0,1,1,9,2
FRA-Ligue 1,2025-26,Metz,Jonathan Fischer,DEN,GK,23-295,2001,2.0,70,62,70,0,0,0,70,0,0,,0,,49,162,96,0,0,0,0,0,44,0
FRA-Ligue 1,2025-26,Metz,Joseph Nduquidi,FRA,MF,20-304,2004,0.1,4,0,0,2,2,0,4,0,0,,0,,3,17,9,0,0,0,0,0,3,1
FRA-Ligue 1,2025-26,Metz,Koffi Kouao,CIV,DF,27-103,1998,1.9,79,5,32,27,23,2,79,2,2,100.0,0,0.0,36,215,91,1,1,1,3,1,43,7
FRA-Ligue 1,2025-26,Metz,Maxime Colin,FRA,DF,33-289,1991,0.1,13,0,1,4,8,2,13,2,2,100.0,0,0.0,10,58,30,0,1,1,0,0,9,3
FRA-Ligue 1,2025-26,Metz,Michel Mboula,GAB,DF,22-123,2003,1.4,86,6,40,36,11,0,86,5,2,40.0,2,40.0,48,230,121,1,0,0,1,0,57,2
FRA-Ligue 1,2025-26,Metz,Morgan Bokelé Mputu,CMR,FW,21-171,2004,0.3,19,0,2,9,9,0,19,2,0,0.0,2,100.0,17,196,57,2,4,0,0,0,19,1
FRA-Ligue 1,2025-26,Metz,Sadibou Sané,SEN,DF,21-082,2004,2.0,151,24,83,66,2,0,151,0,0,,0,,86,526,293,1,1,0,0,0,97,0
FRA-Ligue 1,2025-26,Monaco,Aladji Bamba,FRA,MF,19-048,2006,0.0,14,0,1,13,0,0,14,0,0,,0,,7,62,27,0,0,0,0,0,14,0
FRA-Ligue 1,2025-26,Monaco,Aleksandr Golovin,RUS,"MF,FW",29-093,1996,1.8,117,0,17,53,49,4,117,6,4,66.7,2,33.3,59,310,108,3,3,1,5,2,89,5
FRA-Ligue 1,2025-26,Monaco,Caio Henrique Oliveira Silva,BRA,DF,28-031,1997,1.9,131,6,31,61,39,3,131,5,2,40.0,3,60.0,59,344,189,4,4,0,2,1,78,8
FRA-Ligue 1,2025-26,Monaco,Christian Mawissa,FRA,DF,20-135,2005,2.0,191,21,75,114,4,2,191,3,2,66.7,1,33.3,108,530,345,1,0,0,0,0,137,0
FRA-Ligue 1,2025-26,Monaco,Denis Zakaria,SUI,MF,28-284,1996,2.0,119,4,21,83,18,2,119,4,3,75.0,1,25.0,63,373,216,5,4,1,2,3,92,0
FRA-Ligue 1,2025-26,Monaco,Eliesse Ben Seghir,MAR,"MF,FW",20-196,2005,0.5,32,0,4,20,8,1,32,2,1,50.0,0,0.0,21,103,49,2,0,0,1,1,25,4
FRA-Ligue 1,2025-26,Monaco,Eric Dier,ENG,DF,31-228,1994,2.0,185,22,86,99,2,1,185,0,0,,0,,100,521,326,0,1,0,0,0,141,0
FRA-Ligue 1,2025-26,Monaco,Folarin Balogun,USA,FW,24-059,2001,1.0,22,1,2,11,9,2,22,2,1,50.0,1,50.0,9,32,7,0,0,0,0,1,16,3
FRA-Ligue 1,2025-26,Monaco,George Ilenikhena,NGA,FW,19-015,2006,0.1,3,0,0,0,3,0,3,0,0,,0,,1,10,7,1,1,0,0,0,2,0
FRA-Ligue 1,2025-26,Monaco,Jordan Teze,NED,DF,25-335,1999,1.5,131,3,20,57,55,2,131,1,0,0.0,1,100.0,53,216,132,5,7,0,1,1,79,14
FRA-Ligue 1,2025-26,Monaco,Kassoum Ouattara,FRA,DF,20-321,2004,0.1,11,0,4,3,4,1,11,1,1,100.0,0,0.0,5,29,6,0,0,0,1,0,6,1
FRA-Ligue 1,2025-26,Monaco,Lamine Camara,SEN,MF,21-242,2004,1.7,152,0,21,90,43,1,152,4,2,50.0,2,50.0,76,249,82,0,0,0,9,1,115,4
FRA-Ligue 1,2025-26,Monaco,Lukáš Hrádecký,FIN,GK,35-280,1989,2.0,77,67,77,0,0,0,77,0,0,,0,,42,164,84,0,0,0,0,0,49,0
FRA-Ligue 1,2025-26,Monaco,Maghnes Akliouche,FRA,"FW,MF",23-187,2002,2.0,142,3,12,61,69,8,142,6,2,33.3,4,66.7,86,543,260,11,8,5,5,1,105,13
FRA-Ligue 1,2025-26,Monaco,Mika Biereth,DEN,FW,22-204,2003,1.1,35,1,1,14,20,6,35,2,1,50.0,1,50.0,14,59,24,0,0,0,2,0,19,9
FRA-Ligue 1,2025-26,Monaco,Paris Brunner,GER,FW,19-197,2006,0.1,4,0,0,2,2,0,4,0,0,,0,,2,41,39,1,0,0,0,0,3,1
FRA-Ligue 1,2025-26,Monaco,Takumi Minamino,JPN,"MF,FW",30-227,1995,1.7,46,0,2,17,27,9,46,3,1,33.3,2,66.7,19,105,39,3,2,2,3,0,29,10
FRA-Ligue 1,2025-26,Monaco,Vanderson,BRA,DF,24-071,2001,0.5,45,1,14,20,11,1,45,2,1,50.0,1,50.0,18,108,39,2,1,0,1,1,25,5
FRA-Ligue 1,2025-26,Nantes,Amady Camara,MLI,FW,20-095,2005,0.2,12,0,3,3,6,1,12,2,1,50.0,1,50.0,9,104,76,4,2,1,1,0,7,3
FRA-Ligue 1,2025-26,Nantes,Anthony Lopes,POR,GK,34-334,1990,3.0,170,154,169,1,0,0,170,0,0,,0,,115,505,308,0,0,0,0,0,109,0
FRA-Ligue 1,2025-26,Nantes,Bahereba Guirassy,FRA,"MF,FW",19-002,2006,2.0,76,5,27,32,18,7,76,8,3,37.5,5,62.5,37,235,116,4,1,3,3,3,41,10
FRA-Ligue 1,2025-26,Nantes,Chidozie Awaziem,NGA,DF,28-242,1997,3.0,229,54,168,60,2,1,229,2,2,100.0,0,0.0,132,519,292,0,0,0,2,0,146,0
FRA-Ligue 1,2025-26,Nantes,Dehmaine Assoumani,FRA,"FW,MF",20-136,2005,0.2,5,0,2,2,1,0,5,0,0,,0,,6,38,13,1,0,0,0,1,6,1
FRA-Ligue 1,2025-26,Nantes,Francis Coquelin,FRA,MF,34-110,1991,1.5,78,3,31,42,5,2,78,2,1,50.0,1,50.0,49,145,36,0,0,0,1,1,49,0
FRA-Ligue 1,2025-26,Nantes,Hong Hyunseok,KOR,MF,26-076,1999,1.3,55,3,15,29,11,1,55,1,1,100.0,0,0.0,29,165,96,1,1,0,0,1,26,3
FRA-Ligue 1,2025-26,Nantes,Johann Lepenant,FRA,MF,22-313,2002,2.9,126,11,48,57,24,3,126,7,3,42.9,4,57.1,56,324,72,2,3,0,3,3,55,5
FRA-Ligue 1,2025-26,Nantes,Kelvin Amian,FRA,DF,27-204,1998,3.0,148,15,67,60,21,3,148,1,1,100.0,0,0.0,74,332,193,5,1,0,0,3,77,5
FRA-Ligue 1,2025-26,Nantes,Kwon Hyeokkyu,KOR,MF,24-171,2001,1.5,55,10,36,19,0,0,55,0,0,,0,,28,166,33,0,0,0,1,1,37,0
FRA-Ligue 1,2025-26,Nantes,Louis Leroux,FRA,MF,19-220,2006,2.0,80,3,26,41,13,2,80,3,1,33.3,2,66.7,39,159,60,0,0,0,2,0,43,4
FRA-Ligue 1,2025-26,Nantes,Matthis Abline,FRA,"MF,FW",22-156,2003,1.0,27,1,6,13,10,4,27,8,4,50.0,4,50.0,21,260,188,7,2,4,2,5,18,3
FRA-Ligue 1,2025-26,Nantes,Mostafa Mohamed,EGY,FW,27-276,1997,2.8,73,4,15,43,15,4,73,3,0,0.0,2,66.7,37,184,85,3,1,0,8,4,52,7
FRA-Ligue 1,2025-26,Nantes,Nicolas Cozza,FRA,DF,26-235,1999,3.0,143,20,85,46,14,0,143,5,4,80.0,0,0.0,61,394,228,4,1,0,3,0,65,2
FRA-Ligue 1,2025-26,Nantes,Tylel Tati,FRA,DF,17-224,2008,3.0,176,41,126,50,1,1,176,3,3,100.0,0,0.0,122,541,304,1,0,0,0,0,133,0
FRA-Ligue 1,2025-26,Nantes,Yassine Benhattab,FRA,"MF,FW",22-286,2002,2.5,97,3,21,39,39,6,97,8,4,50.0,4,50.0,62,491,247,7,5,4,9,0,69,14
FRA-Ligue 1,2025-26,Nantes,Youssef El-Arabi,MAR,MF,38-209,1987,0.1,4,1,1,3,0,0,4,0,0,,0,,2,1,0,0,0,0,0,0,3,1
FRA-Ligue 1,2025-26,Nice,Abdulai Juma Bah,SLE,DF,19-142,2006,2.0,163,21,69,89,5,3,163,2,2,100.0,0,0.0,98,469,201,0,1,0,1,0,103,0
FRA-Ligue 1,2025-26,Nice,Antoine Mendy,SEN,DF,21-096,2004,2.0,178,17,69,96,13,1,178,0,0,,0,,107,577,349,1,1,0,1,0,117,2
FRA-Ligue 1,2025-26,Nice,Badredine Bouanani,ALG,MF,20-266,2004,1.0,62,0,7,25,31,8,62,4,1,25.0,3,75.0,47,212,91,3,1,1,2,0,53,12
FRA-Ligue 1,2025-26,Nice,Bernard Nguene,CMR,FW,19-027,2006,0.2,9,0,0,4,5,3,9,0,0,,0,,3,10,0,0,0,0,2,0,6,2
FRA-Ligue 1,2025-26,Nice,Bilal Brahimi,ALG,FW,25-170,2000,0.0,5,0,0,0,5,1,5,0,0,,0,,5,27,13,1,0,1,0,0,5,2
FRA-Ligue 1,2025-26,Nice,Hamza Koutoune,MAR,DF,18-348,2006,0.0,6,0,0,2,4,0,6,0,0,,0,,5,17,4,0,1,0,0,0,6,3
FRA-Ligue 1,2025-26,Nice,Hicham Boudaoui,ALG,MF,25-342,1999,2.0,113,5,22,63,28,4,113,3,2,66.7,1,33.3,81,448,240,7,4,1,6,5,91,10
FRA-Ligue 1,2025-26,Nice,Isak Jansson,SWE,MF,23-212,2002,1.5,50,0,8,21,23,4,50,5,1,20.0,3,60.0,31,237,101,3,3,1,4,3,30,3
FRA-Ligue 1,2025-26,Nice,Jeremie Boga,CIV,MF,28-240,1997,1.0,52,0,5,19,29,5,52,8,3,37.5,3,37.5,31,335,230,8,5,1,1,1,35,4
FRA-Ligue 1,2025-26,Nice,Jonathan Clauss,FRA,DF,32-340,1992,1.0,78,3,17,27,35,5,78,2,1,50.0,1,50.0,41,132,91,1,3,0,1,2,48,6
FRA-Ligue 1,2025-26,Nice,Kevin Carlos,ESP,FW,24-143,2001,0.8,14,0,1,6,7,5,14,0,0,,0,,10,51,18,1,0,2,2,1,13,2
FRA-Ligue 1,2025-26,Nice,Kojo Peprah Oppong,GHA,DF,21-088,2004,2.0,122,11,34,74,14,1,122,1,1,100.0,0,0.0,85,506,331,3,1,0,0,1,90,1
FRA-Ligue 1,2025-26,Nice,Melvin Bard,FRA,DF,24-298,2000,2.0,110,5,30,51,30,1,110,1,1,100.0,0,0.0,63,364,218,6,3,0,3,5,69,13
FRA-Ligue 1,2025-26,Nice,Pablo Rosario,DOM,MF,28-236,1997,0.3,22,0,3,14,6,1,22,3,2,66.7,1,33.3,15,74,37,1,0,1,1,0,14,2
FRA-Ligue 1,2025-26,Nice,Salis Abdul Samed,GHA,MF,25-158,2000,0.9,45,2,12,29,4,0,45,0,0,,0,,24,142,82,1,0,0,1,1,33,0
FRA-Ligue 1,2025-26,Nice,Sofiane Diop,FRA,MF,25-083,2000,0.5,37,0,2,16,20,2,37,4,3,75.0,1,25.0,24,116,45,1,0,0,1,3,27,2
FRA-Ligue 1,2025-26,Nice,Terem Moffi,NGA,FW,26-098,1999,1.0,29,0,0,10,19,5,29,2,1,50.0,1,50.0,16,81,54,2,2,1,2,0,24,6
FRA-Ligue 1,2025-26,Nice,Tom Louchet,FRA,"DF,MF",22-119,2003,1.8,100,3,21,52,27,2,100,1,0,0.0,1,100.0,47,208,104,1,2,0,3,0,62,8
FRA-Ligue 1,2025-26,Nice,Yehvann Diouf,SEN,GK,25-288,1999,2.0,59,54,59,0,0,0,59,0,0,,0,,34,94,39,0,0,0,0,0,30,0
FRA-Ligue 1,2025-26,Paris FC,Adama Camara,FRA,MF,28-317,1996,0.8,26,2,5,15,6,0,26,0,0,,0,,9,49,20,1,0,0,2,0,19,1
FRA-Ligue 1,2025-26,Paris FC,Alimani Gory,MLI,"FW,MF",29-001,1996,0.6,14,0,3,2,9,0,14,0,0,,0,,8,64,28,1,1,0,1,0,11,5
FRA-Ligue 1,2025-26,Paris FC,Ilan Kebbal,ALG,"MF,FW",27-053,1998,2.0,147,3,15,79,54,5,147,8,3,37.5,5,62.5,96,684,393,10,5,2,3,3,117,24
FRA-Ligue 1,2025-26,Paris FC,Jean-Philippe Krasso,CIV,FW,28-045,1997,1.0,29,1,2,15,12,2,29,1,0,0.0,1,100.0,16,47,19,0,0,0,5,2,20,4
FRA-Ligue 1,2025-26,Paris FC,Julien López,ALG,"FW,MF",33-183,1992,0.3,10,0,1,4,5,0,10,1,0,0.0,1,100.0,6,17,9,0,0,0,0,1,8,3
FRA-Ligue 1,2025-26,Paris FC,Lohann Doucet,FRA,MF,22-351,2002,0.9,45,1,13,23,9,1,45,2,1,50.0,1,50.0,24,130,75,1,1,1,0,2,41,0
FRA-Ligue 1,2025-26,Paris FC,Mathieu Cafaro,FRA,"MF,DF",28-159,1997,0.2,14,0,0,2,12,1,14,0,0,,0,,6,28,17,1,0,1,0,0,12,6
FRA-Ligue 1,2025-26,Paris FC,Maxime Lopez,FRA,MF,27-270,1997,2.0,208,1,35,137,37,2,208,2,0,0.0,2,100.0,130,730,401,11,5,2,2,2,181,7
FRA-Ligue 1,2025-26,Paris FC,Moses Simon,NGA,"MF,FW",30-050,1995,1.5,55,0,4,23,30,5,55,9,3,33.3,6,66.7,45,249,100,6,2,2,6,2,46,21
FRA-Ligue 1,2025-26,Paris FC,Moustapha Mbow,SEN,DF,25-176,2000,2.0,143,17,84,56,4,0,143,0,0,,0,,74,323,161,0,2,0,1,1,93,0
FRA-Ligue 1,2025-26,Paris FC,Nhoa Sangui,FRA,DF,19-185,2006,1.9,108,4,32,49,27,1,108,2,1,50.0,0,0.0,52,276,178,4,1,0,1,1,69,10
FRA-Ligue 1,2025-26,Paris FC,Nouha Dicko,MLI,FW,33-109,1992,0.1,1,0,0,1,0,0,1,0,0,,0,,1,4,0,0,0,0,0,0,1,1
FRA-Ligue 1,2025-26,Paris FC,Obed Nkambadio,FRA,GK,22-205,2003,2.0,71,53,70,1,0,0,71,0,0,,0,,39,190,107,0,0,0,0,0,38,0
FRA-Ligue 1,2025-26,Paris FC,Otavio Ataide,BRA,DF,23-132,2002,1.0,72,12,49,19,4,0,72,0,0,,0,,42,179,103,0,1,0,0,0,53,0
FRA-Ligue 1,2025-26,Paris FC,Pierre-Yves Hamel,FRA,FW,31-209,1994,0.9,12,0,2,4,6,2,12,0,0,,0,,1,3,1,0,0,0,0,0,4,2
FRA-Ligue 1,2025-26,Paris FC,Samir Chergui,FRA,DF,26-206,1999,2.0,104,8,35,50,19,4,104,1,1,100.0,0,0.0,41,167,102,2,1,2,2,1,73,5
FRA-Ligue 1,2025-26,Paris FC,Timothée Kolodziejczak,FRA,DF,33-334,1991,0.9,90,9,37,52,1,1,90,0,0,,0,,49,238,171,1,0,0,0,0,70,1
FRA-Ligue 1,2025-26,Paris FC,Vincent Marchetti,FRA,MF,28-058,1997,1.2,66,6,27,26,14,2,66,2,2,100.0,0,0.0,31,237,168,3,4,1,1,1,48,2
FRA-Ligue 1,2025-26,Paris FC,Willem Geubbels,FRA,FW,24-015,2001,0.7,10,0,1,7,2,1,10,0,0,,0,,3,9,0,0,0,0,1,0,5,0
FRA-Ligue 1,2025-26,Paris S-G,Achraf Hakimi,MAR,DF,26-300,1998,2.3,286,1,26,100,161,8,286,10,2,20.0,8,80.0,157,660,370,9,6,3,7,4,235,37
FRA-Ligue 1,2025-26,Paris S-G,Bradley Barcola,FRA,FW,22-363,2002,2.6,137,1,4,28,108,20,137,12,4,33.3,8,66.7,92,480,221,11,4,8,6,2,116,49
FRA-Ligue 1,2025-26,Paris S-G,Désiré Doué,FRA,"FW,MF",20-089,2005,1.9,135,0,5,33,100,12,135,13,4,30.8,8,61.5,84,682,324,14,6,7,2,8,107,22
FRA-Ligue 1,2025-26,Paris S-G,Fabián Ruiz Peña,ESP,MF,29-150,1996,2.7,342,4,38,192,113,5,342,1,0,0.0,1,100.0,199,1012,508,8,8,1,6,0,301,9
FRA-Ligue 1,2025-26,Paris S-G,Gonçalo Ramos,POR,FW,24-072,2001,1.4,39,0,5,11,23,9,39,2,2,100.0,0,0.0,16,45,18,1,0,1,0,1,31,6
FRA-Ligue 1,2025-26,Paris S-G,Ibrahim Mbaye,FRA,FW,17-219,2008,1.0,107,0,2,21,84,11,107,14,4,28.6,8,57.1,75,458,161,8,4,4,7,2,94,25
FRA-Ligue 1,2025-26,Paris S-G,Illia Zabarnyi,UKR,DF,22-364,2002,2.0,175,16,71,96,8,1,175,0,0,,0,,108,465,252,2,2,0,2,0,137,0
FRA-Ligue 1,2025-26,Paris S-G,João Neves,POR,MF,20-338,2004,1.7,183,4,23,94,67,8,183,2,0,0.0,1,50.0,101,387,166,3,3,0,4,0,156,6
FRA-Ligue 1,2025-26,Paris S-G,Khvicha Kvaratskhelia,GEO,"DF,FW",24-200,2001,0.5,34,0,3,13,18,5,34,2,0,0.0,1,50.0,22,187,112,4,3,3,3,1,28,8
FRA-Ligue 1,2025-26,Paris S-G,Lee Kang-in,KOR,"MF,FW",24-193,2001,0.8,96,1,4,27,65,6,96,2,1,50.0,1,50.0,60,269,77,2,2,1,0,0,83,6
FRA-Ligue 1,2025-26,Paris S-G,Lucas Beraldo,BRA,DF,21-280,2003,2.0,198,27,84,107,7,3,198,0,0,,0,,118,415,231,0,0,0,2,0,147,1
FRA-Ligue 1,2025-26,Paris S-G,Lucas Chevalier,FRA,GK,23-298,2001,3.0,67,55,65,2,0,0,67,0,0,,0,,42,175,122,0,0,0,0,0,35,0
FRA-Ligue 1,2025-26,Paris S-G,Lucas Hernández,FRA,DF,29-198,1996,0.7,59,1,6,33,20,1,59,0,0,,0,,37,161,66,0,1,0,1,0,41,2
FRA-Ligue 1,2025-26,Paris S-G,Marquinhos,BRA,DF,31-109,1994,1.0,105,1,11,82,13,1,105,1,1,100.0,0,0.0,52,324,205,0,4,0,0,0,85,0
FRA-Ligue 1,2025-26,Paris S-G,Nuno Mendes,POR,DF,23-073,2002,1.8,179,6,29,92,63,5,179,8,3,37.5,4,50.0,108,679,422,9,7,1,3,4,136,9
FRA-Ligue 1,2025-26,Paris S-G,Ousmane Dembélé,FRA,FW,28-108,1997,2.0,193,0,1,59,133,12,190,10,5,50.0,4,40.0,112,676,400,17,13,4,3,3,169,15
FRA-Ligue 1,2025-26,Paris S-G,Vitinha,POR,MF,25-199,2000,2.5,360,4,25,215,122,0,360,1,0,0.0,1,100.0,223,1340,706,9,12,0,1,1,308,2
